Date,sensor_11,sensor_12,sensor_04,sensor_10,sensor_48,sensor_50,sensor_05,sensor_02,sensor_06,label
03-07-2018 15:06,0.001174809,0,0.000471042,0.002738079,0.037362776,0.016304355,0.003870199,0,0.00084246,1
03-07-2018 15:07,0.001174722,0,0.000471042,0.002841554,0.037362811,0.014130456,0.003870199,0,0.00084246,1
03-07-2018 15:08,0.001174809,0,0.000648794,0.002706285,0.037362776,0.016304355,0.003870199,0,0.00084246,1
03-07-2018 15:09,0.001174809,0,0.000648794,0.002820301,0.035165115,0.014130456,0.003870199,0,0.00084246,1
03-07-2018 15:10,0.001307729,0,0.000471042,0.003558111,0.037362776,0.016304355,0.003870199,0,0.00084246,1
03-07-2018 15:11,0.001468511,0,0.000648794,0.00386612,0.037362811,0.016304355,0.003870199,0,0.00084246,1
03-07-2018 15:12,0.001468512,0,0.000648794,0.00386612,0.037362811,0.014130456,0.003870199,0,0.00084246,1
03-07-2018 15:13,0.001468512,0,0.000471042,0.00386612,0.037362811,0.014130447,0.003870199,0,0,1
03-07-2018 15:14,0.001468512,0,0.000648794,0.00381089,0.037362811,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:15,0.001468511,0,0.000471042,0.00386612,0.037362811,0.014130456,0.003870196,0,0.00084246,1
03-07-2018 15:16,0.001468962,0,0.000471042,0.00386612,0.037362776,0.016304355,0.003870199,0,0.00084246,1
03-07-2018 15:17,0.001468512,0,0.000471042,0.00386612,0.032966947,0.016304355,0.003870199,0,0.00084246,1
03-07-2018 15:18,0.00059984,0,0.000648794,0.003439644,0.028571624,0.014130456,0.003870199,0,0.00084246,1
03-07-2018 15:19,0.001174809,0,0.000648794,0.003586752,0.028571624,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:20,0.001468297,0,0.000648794,0.003479542,0.032966947,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:21,0.001468502,0,0.000177751,0.003501658,0.032966947,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:22,0.001468511,0,0.000648794,0.003831668,0.037362776,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:23,0.001468511,0,0.000648794,0.00386612,0.037362811,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:24,0.001266553,0,0.000471042,0.00386612,0.037362811,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:25,0.001416343,0,0.000471042,0.003812949,0.037362811,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:26,0.001468511,0,0.000471042,0.00386612,0.037362811,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:27,0.001468511,0,0.000471042,0.00386612,0.037362811,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:28,0.001465675,0,0.000471042,0.003866121,0.037362811,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:29,0.001762174,0,0.000648794,0.003866121,0.037362776,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:30,0.0017196,0,0.000471042,0.003992999,0.039560438,0.014130447,0.003870196,0,0.00084246,1
03-07-2018 15:31,0.001761913,0,0.000648794,0.003982231,0.032966947,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:32,0.001762214,0,0.000648794,0.003866121,0.035165115,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:33,0.001762214,0,0,0.004061239,0.035164966,0.014130456,0.003870199,0,0.00084246,1
03-07-2018 15:34,0.00176205,0,0.000471042,0.003866121,0.035165115,0.016304355,0.003870196,0,0.00084246,1
03-07-2018 15:35,0.001762214,0,0.000648793,0.004041258,0.039560438,0.016304355,0.004167912,0,0.00084246,1
03-07-2018 15:36,0.001468683,0,0.000648794,0.003866132,0.043956267,0.016304364,0.004167909,0,0.00084246,1
03-07-2018 15:37,0.001762214,0,0.000471042,0.004040161,0.043956153,0.016304364,0.004167909,0,0.00084246,1
03-07-2018 15:38,0.001762214,0,0.000471042,0.004071975,0.043956153,0.016304364,0.004167909,0,0.00084246,1
03-07-2018 15:39,0.001468512,0,0.000471042,0.003798493,0.043956153,0.016304364,0.004167912,0,0.00084246,1
03-07-2018 15:40,0.001468497,0,0.000471042,0.0039303,0.043956153,0.016304364,0.003870196,0,0.00084246,1
03-07-2018 15:41,0.001762199,0,0.000471042,0.004252504,0.043956153,0.016304355,0.003870199,0,0.00084246,1
03-07-2018 15:42,0.001762214,0,0.000471042,0.004252732,0.043956153,0.014130456,0.003870199,0,0.00084246,1
03-07-2018 15:43,0.001762214,0,0.000648794,0.00424947,0.043956153,0.016304355,0.003870199,0,0.00084246,1
03-07-2018 15:44,0.001762214,0,0.000471042,0.00411754,0.043956267,0.016304355,0.003870199,0,0.00084246,1
03-07-2018 15:45,0.001762214,0,0,0.004241049,0.046153928,0.014130456,0.003870199,0,0.00084246,1
03-07-2018 15:46,0.001762214,0,0.000471042,0.003976005,0.046153998,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:47,0.001762214,0,0.000648794,0.004228192,0.046153998,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:48,0.001762214,0,0.000648794,0.004252732,0.046153998,0.014130447,0.003870199,0,0.00084246,1
03-07-2018 15:49,0.001762214,0,0.000648794,0.004251881,0.046153998,0.014130456,0.003870199,0,0.00084246,1
03-07-2018 15:50,0.001762214,0,0.000648793,0.004015524,0.046153998,0.016304355,0.003870199,0,0.00084246,1
03-07-2018 15:51,0.001762214,0,0.000471042,0.004207831,0.046153928,0.014130456,0.003870196,0,0.00084246,1
